Week,Peru,Bulgaria,Bosnia&Herzegovina,Hungary,Georgia,North Macedonia,Moldova,Croatia,Czechia,Slovakia,Romania,Lithuania,Brazil,Slovenia,Poland,Chile,USA,Latvia,Armenia,Argentina,Colombia,Trinidad&Tobago,Belgium,Paraguay,Italy,Greece,Mexico,Ukraine,United Kingdom,Russia,Tunisia,Serbia,Spain,Portugal,Uruguay,Ecuador,France,Panama,Bolivia,Estonia,Austria,Sweden,Kosovo,South Africa,Iran,Costa Rica,Namibia,Switzerland,Germany,Lebanon,Jordan,Ireland,Puerto Rico,Netherlands,Albania,Turkey,Botswana,Israel,Honduras,Malaysia,Guatemala,Kazakhstan,Canada,Denmark,Jamaica,Azerbaijan,Libya,Bahrain,Oman,Cyprus,Mauritius,Sri Lanka,Cuba,Belarus,Mongolia,Iraq,El Salvador,Kuwait,Finland,Indonesia,Philippines,Norway,Kyrgyzstan,Vietnam,Morocco,Nepal,Dominican Republic,India,Zimbabwe,Thailand,South Korea,Lesotho,Saudi Arabia,Australia,Egypt,Qatar,United Arab Emirates,Singapore,Japan,Zambia,Venezuela,Cambodia,Syria,Bangladesh,Algeria,Pakistan,Senegal,Sudan,Kenya,Laos,New Zealand,Uganda,Cameroon,Haiti,Yemen,Mozambique,Ethiopia,Angola,Uzbekistan,Ghana,Nicaragua,Cote d'Ivoire,Nigeria,Congo (Kinshasa),Tanzania,Tajikistan,China
4/16/2017,21,68,29,51,35,35,24,39,55,29,28,42,57,45,43,12,44,46,20,6,26,42,59,9,75,33,38,42,36,28,33,25,37,53,8,19,54,18,21,51,32,58,7,17,27,7,18,40,52,32,32,53,29,42,19,31,23,45,24,17,13,19,54,56,20,8,24,20,26,67,52,24,54,18,17,35,8,29,72,11,8,55,0,19,19,29,25,19,7,15,85,12,19,39,11,21,27,24,34,14,27,10,13,13,7,19,0,10,23,0,43,14,10,0,5,0,18,19,23,13,6,15,4,13,11,0,10
4/23/2017,22,50,31,53,29,16,17,15,38,40,21,27,55,51,51,11,46,41,0,6,26,42,63,10,87,27,43,35,36,30,39,36,35,46,6,22,56,18,20,41,35,44,15,16,42,7,40,55,51,22,41,46,26,45,27,31,21,48,31,17,16,19,57,51,26,16,12,34,8,45,42,20,24,43,26,28,6,30,78,13,8,51,0,17,51,21,35,18,15,16,56,11,25,37,6,21,31,27,38,9,34,5,26,10,16,21,12,5,23,18,42,18,9,19,0,18,34,0,0,9,11,7,4,0,11,35,16
4/30/2017,26,41,23,71,25,32,18,37,40,46,18,42,44,61,47,14,48,24,29,6,30,42,53,10,78,36,37,40,36,20,23,48,37,39,12,26,49,19,18,31,46,58,24,18,32,7,60,49,45,23,33,46,32,42,14,26,22,46,27,18,19,20,53,51,30,8,0,24,26,61,39,26,25,19,43,29,10,20,48,13,9,62,16,19,25,39,35,19,30,16,52,23,26,39,10,16,25,25,36,11,37,13,13,7,10,23,12,21,26,0,40,16,10,0,5,18,22,0,0,9,12,14,3,0,12,0,27
5/7/2017,24,49,11,59,34,46,25,57,39,37,24,37,39,37,50,11,47,14,39,6,26,31,53,7,76,39,37,48,36,29,17,36,37,35,9,23,56,15,23,38,62,57,31,16,22,6,29,49,59,29,37,43,37,43,27,28,20,32,23,19,17,40,55,75,26,24,13,32,30,38,38,21,36,6,9,29,8,34,57,11,9,53,31,19,20,30,36,18,14,15,71,54,26,37,12,27,26,22,32,14,37,22,14,11,23,17,12,10,28,18,39,16,6,20,0,9,10,20,0,9,11,7,4,0,14,0,60
5/14/2017,24,63,49,57,19,34,9,31,43,34,22,53,38,37,45,10,46,36,67,6,26,45,61,9,73,44,39,29,36,23,19,42,40,33,7,26,48,21,17,29,50,68,0,15,29,6,24,48,50,29,39,41,36,42,16,27,38,24,26,14,22,26,58,54,26,18,13,18,16,59,23,24,65,35,0,19,8,28,61,14,9,70,0,13,27,33,30,17,27,14,56,0,19,38,21,19,29,22,33,8,38,12,27,11,7,16,0,17,22,58,40,12,13,11,6,9,15,0,0,8,12,15,5,13,15,0,30
5/21/2017,23,28,24,42,20,33,45,57,46,34,31,36,39,24,50,11,46,32,0,7,27,30,59,8,68,38,43,51,36,30,28,24,38,33,8,25,57,20,17,50,35,61,17,16,18,7,17,41,62,13,25,39,24,45,23,30,14,27,33,15,10,40,57,55,24,0,14,16,16,65,61,16,39,21,22,26,11,16,70,11,7,56,0,15,31,18,40,18,21,16,60,0,20,39,18,17,37,22,39,8,40,24,42,8,15,15,14,12,26,20,38,14,7,0,0,0,18,22,53,9,10,0,4,0,12,0,25
5/28/2017,22,19,31,35,20,23,10,66,51,51,20,48,33,42,54,12,48,36,12,6,28,26,51,10,76,46,42,31,36,32,15,40,36,49,7,25,51,18,23,29,52,56,19,15,24,6,42,50,55,21,35,45,36,42,33,23,44,42,28,15,16,20,54,54,29,10,0,16,17,36,53,23,27,14,23,32,7,25,77,13,7,56,0,15,26,25,32,17,18,14,62,0,18,38,15,15,24,26,28,10,39,14,0,11,12,14,0,6,32,30,42,13,24,0,8,19,15,0,0,7,8,0,5,0,12,0,35
6/4/2017,22,43,30,61,5,22,27,55,52,30,25,25,41,32,44,12,48,24,23,6,26,29,49,11,69,57,41,44,33,26,0,31,39,45,10,22,57,18,22,59,39,71,28,15,35,6,24,56,53,19,22,44,34,45,41,35,12,34,31,18,9,27,54,60,29,10,14,21,12,48,42,21,68,28,34,32,8,24,58,14,8,65,0,17,27,39,24,17,26,14,85,13,17,38,20,21,26,31,34,15,44,12,0,9,11,14,14,0,23,10,39,13,13,0,7,19,50,39,24,9,11,0,5,14,13,0,20
6/11/2017,23,62,18,68,34,38,18,38,38,50,34,35,43,55,56,11,46,12,12,6,27,35,64,9,63,44,42,39,36,23,22,31,37,54,10,28,65,19,19,45,55,47,17,15,27,8,49,54,46,16,41,43,25,45,57,21,30,41,30,14,14,41,59,56,27,10,14,12,24,38,51,15,28,27,12,16,8,31,73,14,10,57,0,18,27,34,37,18,19,13,51,27,18,38,26,20,23,27,29,8,39,23,14,6,16,10,0,12,27,10,37,14,14,12,0,19,17,39,24,7,11,0,3,28,13,0,35
6/18/2017,25,50,54,58,19,23,27,35,44,41,22,37,46,80,46,13,46,26,23,7,28,12,58,11,60,64,41,40,38,34,15,34,43,61,8,31,74,21,26,77,45,57,9,16,26,7,36,64,53,22,40,50,34,43,25,32,30,51,26,18,16,0,62,59,17,19,14,24,25,60,41,19,0,47,0,12,8,48,91,12,10,55,16,21,31,27,30,19,21,12,65,13,14,37,26,13,23,26,34,13,31,16,28,5,8,14,14,6,27,10,40,15,7,12,0,19,20,20,25,6,16,0,4,14,10,0,65
