Week,Peru,Bulgaria,Bosnia&Herzegovina,Hungary,Georgia,North Macedonia,Moldova,Croatia,Czechia,Slovakia,Romania,Lithuania,Brazil,Slovenia,Poland,Chile,USA,Latvia,Armenia,Argentina,Colombia,Trinidad&Tobago,Belgium,Paraguay,Italy,Greece,Mexico,Ukraine,United Kingdom,Russia,Tunisia,Serbia,Spain,Portugal,Uruguay,Ecuador,France,Panama,Bolivia,Estonia,Austria,Sweden,Kosovo,South Africa,Iran,Costa Rica,Namibia,Switzerland,Germany,Lebanon,Jordan,Ireland,Puerto Rico,Netherlands,Albania,Turkey,Botswana,Israel,Honduras,Malaysia,Guatemala,Kazakhstan,Canada,Denmark,Jamaica,Azerbaijan,Libya,Bahrain,Oman,Cyprus,Mauritius,Sri Lanka,Cuba,Belarus,Mongolia,Iraq,El Salvador,Kuwait,Finland,Indonesia,Philippines,Norway,Kyrgyzstan,Vietnam,Morocco,Nepal,Dominican Republic,India,Zimbabwe,Thailand,South Korea,Lesotho,Saudi Arabia,Australia,Egypt,Qatar,United Arab Emirates,Singapore,Japan,Zambia,Venezuela,Cambodia,Syria,Bangladesh,Algeria,Pakistan,Senegal,Sudan,Kenya,Laos,New Zealand,Uganda,Cameroon,Haiti,Yemen,Mozambique,Ethiopia,Angola,Uzbekistan,Ghana,Nicaragua,Cote d'Ivoire,Nigeria,Congo (Kinshasa),Tanzania,Tajikistan,China
4/16/2017,21,68,29,51,35,35,24,39,55,29,28,42,57,45,43,12,44,46,20,6,26,42,59,9,75,33,38,42,36,28,33,25,37,53,8,19,54,18,21,51,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2017,22,50,31,53,29,16,17,15,38,40,21,27,55,51,51,11,46,41,0,6,26,42,63,10,87,27,43,35,36,30,39,36,35,46,6,22,56,18,20,41,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2017,26,41,23,71,25,32,18,37,40,46,18,42,44,61,47,14,48,24,29,6,30,42,53,10,78,36,37,40,36,20,23,48,37,39,12,26,49,19,18,31,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2017,24,49,11,59,34,46,25,57,39,37,24,37,39,37,50,11,47,14,39,6,26,31,53,7,76,39,37,48,36,29,17,36,37,35,9,23,56,15,23,38,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2017,24,63,49,57,19,34,9,31,43,34,22,53,38,37,45,10,46,36,67,6,26,45,61,9,73,44,39,29,36,23,19,42,40,33,7,26,48,21,17,29,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2017,23,28,24,42,20,33,45,57,46,34,31,36,39,24,50,11,46,32,0,7,27,30,59,8,68,38,43,51,36,30,28,24,38,33,8,25,57,20,17,50,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2017,22,19,31,35,20,23,10,66,51,51,20,48,33,42,54,12,48,36,12,6,28,26,51,10,76,46,42,31,36,32,15,40,36,49,7,25,51,18,23,29,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2017,22,43,30,61,5,22,27,55,52,30,25,25,41,32,44,12,48,24,23,6,26,29,49,11,69,57,41,44,33,26,0,31,39,45,10,22,57,18,22,59,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2017,23,62,18,68,34,38,18,38,38,50,34,35,43,55,56,11,46,12,12,6,27,35,64,9,63,44,42,39,36,23,22,31,37,54,10,28,65,19,19,45,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2017,25,50,54,58,19,23,27,35,44,41,22,37,46,80,46,13,46,26,23,7,28,12,58,11,60,64,41,40,38,34,15,34,43,61,8,31,74,21,26,77,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
