Week,Laos,USA,Kuwait,Malaysia,Azerbaijan,Canada,Peru,Bulgaria,Bosnia&Herzegovina,Hungary,Georgia,North Macedonia,Moldova,Croatia,Czechia,Slovakia,Romania,Lithuania,Brazil,Slovenia,Poland,Chile,Latvia,Armenia,Argentina,Colombia,Trinidad&Tobago,Belgium,Paraguay,Italy,Greece,Mexico,Ukraine,United Kingdom,Russia,Tunisia,Serbia,Spain,Portugal,Uruguay,Ecuador,France,Panama,Bolivia,Estonia,Austria,Sweden,Kosovo,South Africa,Iran,Costa Rica,Namibia,Switzerland,Germany,Lebanon,Jordan,Ireland,Puerto Rico,Netherlands,Albania,Turkey,Botswana,Israel,Honduras,Guatemala,Kazakhstan,Denmark,Jamaica,Libya,Bahrain,Oman,Cyprus,Mauritius,Sri Lanka,Cuba,Belarus,Mongolia,Iraq,El Salvador,Finland,Indonesia,Philippines,Norway,Kyrgyzstan,Vietnam,Morocco,Nepal,Dominican Republic,India,Zimbabwe,Thailand,South Korea,Lesotho,Saudi Arabia,Australia,Egypt,Qatar,United Arab Emirates,Singapore,Japan,Zambia,Venezuela,Cambodia,Syria,Bangladesh,Algeria,Pakistan,Senegal,Sudan,Kenya,New Zealand,Uganda,Cameroon,Haiti,Yemen,Mozambique,Ethiopia,Angola,Uzbekistan,Ghana,Nicaragua,Cote d'Ivoire,Nigeria,Congo (Kinshasa),Tanzania,Tajikistan,China
4/16/2017,0,57,16,35,0,31,5,18,29,0,20,0,16,20,30,0,12,0,78,0,12,11,29,0,26,12,0,29,0,5,50,6,12,12,22,0,0,24,23,0,0,72,0,21,21,18,19,0,14,1,22,0,17,39,0,6,19,63,50,0,1,0,33,0,18,30,33,42,0,59,0,32,32,24,0,22,0,19,0,18,10,12,27,20,48,16,0,21,26,52,5,20,0,20,49,6,25,58,21,86,0,0,0,0,23,0,23,0,37,19,36,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0
4/23/2017,0,59,16,30,19,52,7,38,0,34,19,0,0,58,29,18,8,0,66,34,5,21,0,24,18,18,19,0,92,6,53,11,8,10,16,0,22,27,62,30,23,37,0,0,21,0,25,0,19,0,42,0,46,48,40,0,20,41,9,19,1,0,31,0,36,31,64,20,0,0,0,15,33,0,0,5,0,0,18,59,32,17,67,0,57,0,0,0,25,0,27,100,0,25,52,6,49,7,26,72,0,6,0,0,0,42,22,0,0,12,30,0,0,0,0,0,0,0,64,38,0,0,13,0,32,0,0
4/30/2017,0,56,0,30,0,39,2,20,0,18,0,38,36,0,48,0,6,25,73,38,15,5,67,0,35,6,0,43,0,8,27,9,9,13,13,20,23,32,8,0,8,18,33,22,0,36,21,0,13,2,22,0,61,28,28,38,9,41,13,0,1,24,46,22,38,25,28,21,0,0,0,31,0,0,0,18,38,39,38,13,29,12,56,0,33,16,0,0,18,0,11,41,0,15,54,25,49,14,21,64,0,0,0,0,0,0,22,0,0,19,17,0,0,0,0,0,0,72,0,0,0,0,41,0,0,0,0
5/7/2017,0,51,16,41,10,37,7,39,0,35,0,37,17,0,16,0,6,23,84,66,15,16,100,24,25,12,19,28,0,6,41,10,9,14,19,0,0,31,15,0,15,18,32,11,42,0,24,0,24,1,22,0,0,22,14,0,11,64,17,0,1,0,6,0,19,7,43,84,0,30,26,31,0,0,0,16,0,40,19,23,22,11,72,22,41,16,63,22,38,0,23,99,0,40,51,12,24,36,11,81,0,6,0,0,23,0,39,0,0,19,22,29,0,0,0,0,0,0,0,59,0,0,14,0,0,0,0
5/14/2017,0,49,16,37,11,35,10,64,0,39,21,41,36,21,34,0,7,27,75,0,3,24,0,55,31,0,0,0,25,9,27,10,11,13,16,0,0,25,82,0,8,33,0,11,0,0,24,0,21,2,23,0,32,23,14,14,11,93,17,23,1,0,21,23,0,51,31,23,0,0,0,16,0,0,0,11,0,0,0,50,57,8,45,0,39,18,0,0,30,0,29,22,0,10,65,19,25,55,45,93,0,28,46,0,48,0,18,0,80,13,18,0,0,0,42,0,0,38,33,22,0,0,28,0,32,0,0
5/21/2017,0,49,0,56,11,26,3,14,0,20,0,40,37,0,18,21,9,0,79,38,13,12,50,0,42,14,22,0,0,3,22,18,10,10,18,0,0,8,25,33,0,21,0,11,50,38,13,0,28,1,0,53,0,25,0,8,18,0,14,0,1,0,7,0,20,26,23,74,0,32,28,0,0,53,0,9,0,20,0,39,21,7,41,0,47,0,67,48,15,0,6,45,0,5,43,45,0,48,17,62,0,0,0,32,74,0,6,0,0,0,49,34,0,0,0,0,0,0,0,0,50,0,0,0,33,0,0
5/28/2017,0,46,18,25,0,47,0,28,37,40,0,0,0,0,18,0,1,0,78,0,5,11,0,0,18,7,21,75,0,4,16,14,10,10,15,0,0,17,33,0,0,7,0,0,24,0,20,0,9,1,22,0,16,40,15,0,9,0,13,12,1,0,36,0,0,46,31,0,39,0,0,16,39,26,0,14,0,0,0,45,23,14,33,24,20,21,66,0,33,0,6,44,0,28,43,27,53,74,46,81,0,7,0,0,27,0,41,0,0,0,48,0,0,0,0,0,0,38,0,0,0,0,0,0,34,0,0
6/4/2017,0,45,34,53,23,43,3,28,0,39,0,0,19,20,17,21,8,26,82,0,0,17,0,0,32,7,0,29,23,3,76,10,19,13,28,0,77,4,17,33,8,39,0,11,0,0,15,36,14,2,0,50,64,64,15,0,18,22,12,12,1,27,13,0,20,20,50,0,0,0,27,33,0,0,0,9,0,0,0,53,23,10,60,0,36,0,65,0,41,0,12,67,0,16,54,13,0,31,28,76,0,22,0,0,24,0,48,0,0,0,12,0,0,0,0,0,0,0,0,45,0,0,44,0,32,60,0
6/11/2017,0,46,0,60,11,58,3,35,36,39,0,0,75,21,0,0,7,51,63,37,16,6,17,57,31,7,21,29,0,4,48,9,17,12,38,0,26,17,62,0,8,13,0,11,25,19,20,32,34,2,22,51,16,29,15,8,18,45,17,12,1,0,27,23,0,53,46,71,0,0,0,49,0,0,0,34,0,0,0,33,29,8,28,24,39,0,0,0,49,0,6,22,0,5,66,27,0,15,23,76,0,0,0,0,24,0,48,0,0,14,30,34,0,0,0,0,0,0,62,44,0,0,29,0,33,60,0
6/18/2017,0,43,0,31,11,33,2,40,36,57,22,0,75,20,18,0,4,51,66,0,5,11,18,0,32,8,0,58,0,6,48,10,15,9,18,0,25,13,40,0,15,32,65,0,0,0,14,0,26,0,22,0,16,90,14,23,9,0,4,0,1,0,34,0,21,13,26,24,0,0,28,0,37,0,0,8,0,0,0,51,15,12,50,0,49,38,0,0,28,0,17,21,0,6,46,27,0,24,33,94,0,7,0,0,0,0,13,0,0,34,34,33,0,0,0,0,0,0,32,0,0,0,44,0,0,0,39
6/25/2017,0,38,53,29,0,33,11,29,0,19,23,0,20,0,18,0,7,26,59,0,16,0,0,30,9,8,0,0,47,1,95,5,12,12,12,25,0,9,25,0,8,39,0,11,24,0,28,0,10,3,0,0,0,22,0,0,11,0,8,0,0,28,14,0,0,27,49,0,0,35,0,53,0,0,0,21,0,0,0,32,27,21,44,50,29,17,100,25,32,54,23,45,0,6,53,19,0,18,35,73,0,0,0,0,26,31,0,0,0,0,42,35,0,0,0,0,40,0,0,0,0,0,45,0,0,0,0
7/2/2017,0,43,0,38,12,35,13,29,38,20,22,0,0,20,40,0,4,27,52,0,22,18,17,0,36,80,0,17,0,1,51,12,12,11,15,0,0,13,25,0,8,47,0,0,25,0,9,69,17,1,0,0,51,46,14,14,16,0,22,12,2,0,56,25,21,22,23,0,0,0,0,0,0,25,0,6,0,0,0,20,20,25,19,0,55,17,66,0,28,0,12,0,0,0,42,19,0,17,17,49,0,8,0,29,23,17,29,0,0,7,18,0,55,0,0,0,39,0,33,22,0,0,28,0,34,0,42
7/9/2017,0,41,0,37,12,34,8,29,38,20,23,0,0,0,36,22,3,0,48,40,5,0,50,0,32,21,0,32,0,4,22,10,15,12,21,0,27,36,42,0,16,20,34,0,0,0,19,67,9,2,23,0,0,34,0,7,11,23,13,24,1,0,27,0,40,42,41,0,0,33,0,0,0,26,0,20,0,0,22,39,11,10,26,25,56,0,32,24,17,0,6,45,0,27,61,18,0,17,6,68,0,8,0,32,0,17,6,0,0,14,38,0,0,0,0,0,37,0,32,21,0,0,41,0,97,0,0
7/16/2017,0,54,0,31,0,48,8,14,0,20,0,41,0,19,36,23,10,0,71,0,8,0,0,0,10,30,0,0,24,4,17,15,20,11,29,24,0,22,33,69,8,7,0,0,26,38,24,0,14,2,23,50,36,46,0,14,20,0,27,12,1,0,28,46,20,14,23,25,0,100,0,17,0,0,0,32,0,19,22,26,23,11,26,0,79,0,0,0,37,0,29,22,0,11,57,0,27,17,22,59,0,0,0,30,22,0,17,0,0,14,31,0,0,0,0,0,0,37,33,21,0,0,53,0,0,0,0
7/23/2017,0,50,17,54,34,35,0,35,36,19,0,0,19,0,17,0,7,0,63,0,13,18,17,0,40,48,43,0,23,10,28,12,11,17,20,24,0,9,17,0,8,33,0,22,0,18,26,0,23,2,45,49,35,49,0,0,31,0,35,0,1,0,42,0,0,27,56,100,0,0,0,0,70,0,0,9,0,0,0,59,19,20,32,0,65,0,32,0,35,0,29,43,0,16,62,19,53,42,39,76,0,0,0,0,0,50,22,98,0,14,24,0,0,0,0,0,35,37,0,0,0,0,14,0,0,0,0
7/30/2017,57,45,52,23,11,42,3,14,0,19,0,0,0,0,36,0,12,0,63,0,11,11,32,0,42,26,86,15,0,4,22,9,11,13,20,47,51,21,8,30,0,13,0,11,23,37,12,0,22,0,0,0,0,50,0,21,17,0,35,0,1,0,54,0,0,13,20,25,33,0,0,33,0,0,0,23,0,0,0,54,21,18,34,25,61,0,0,0,47,0,16,44,0,11,57,31,0,17,32,61,41,7,0,0,0,17,17,0,0,0,30,31,49,0,0,0,0,0,0,21,0,0,54,0,33,62,41
8/6/2017,0,48,34,100,0,39,0,34,34,55,24,0,0,0,17,0,7,0,70,36,8,22,16,0,81,7,21,0,0,1,100,10,10,18,17,22,100,9,41,58,8,35,63,0,48,35,20,0,13,2,21,45,16,44,14,27,13,43,5,0,1,0,21,0,19,26,25,49,0,0,0,16,0,25,0,11,0,37,21,48,45,23,28,0,58,0,0,0,28,0,11,64,0,27,59,25,27,33,49,82,0,0,0,0,22,0,6,0,0,7,34,0,0,0,0,0,0,69,30,0,0,0,39,0,0,0,42
8/13/2017,0,41,0,54,11,31,0,21,0,0,0,0,18,0,17,21,7,54,67,39,5,11,48,0,25,6,0,62,0,7,30,9,12,11,20,0,0,9,9,0,8,28,0,10,0,0,10,0,33,1,22,0,32,56,0,7,19,21,35,11,1,0,34,21,20,53,54,0,0,33,0,52,0,0,0,23,0,0,0,24,36,19,11,0,54,0,0,23,23,0,6,0,0,5,62,19,0,17,58,64,0,0,0,29,21,17,17,0,0,20,17,0,0,0,0,32,33,36,30,20,0,0,38,0,0,0,0
8/20/2017,0,42,18,24,33,35,5,40,0,19,0,0,39,0,18,0,22,50,87,0,10,0,0,29,39,13,21,15,21,6,64,5,15,12,21,0,0,35,50,0,16,40,63,0,0,53,17,0,42,2,0,0,79,45,0,0,6,20,26,0,1,25,49,22,0,33,5,24,0,0,29,0,35,25,0,30,0,0,0,59,35,31,33,25,73,0,0,0,26,0,0,44,54,6,52,20,28,41,33,83,0,0,0,0,72,0,18,0,0,0,24,29,0,0,0,0,0,37,64,100,0,0,77,0,63,0,41
8/27/2017,0,43,18,77,11,42,2,68,35,37,46,0,100,18,100,0,10,0,70,0,0,21,16,29,29,31,22,71,42,8,21,11,34,17,67,100,25,12,48,29,8,37,0,11,0,0,15,0,33,1,44,0,59,66,91,100,17,79,34,0,3,100,78,0,0,81,39,0,80,35,100,16,0,50,0,39,0,69,0,47,51,35,53,100,56,100,36,0,90,0,22,0,0,94,100,100,30,100,60,87,0,0,0,35,29,78,99,0,0,21,23,0,54,0,0,33,100,72,100,61,47,0,53,0,0,0,0
9/3/2017,0,39,18,55,0,25,9,35,0,19,0,0,57,18,33,0,11,24,60,0,8,11,15,0,50,13,0,44,0,6,77,16,15,11,30,22,25,20,55,0,0,38,32,11,22,0,22,35,26,3,0,0,15,48,0,7,11,0,33,0,1,0,42,0,19,19,37,47,0,0,94,0,0,26,0,27,50,22,0,100,43,31,47,0,54,35,75,21,100,48,11,0,0,63,62,34,31,50,44,95,0,7,0,0,29,90,0,0,0,0,47,0,0,0,0,34,0,0,60,0,0,0,14,0,0,58,39
9/10/2017,0,45,35,24,0,28,2,34,0,19,0,0,0,18,63,0,8,24,58,31,7,12,60,0,38,6,0,14,0,3,26,14,9,9,21,44,24,28,24,0,8,19,0,0,43,0,14,35,26,1,23,0,30,37,14,14,19,68,12,23,1,25,14,0,64,36,37,23,35,0,0,16,0,0,0,16,0,0,0,69,40,25,36,22,59,0,0,0,47,0,38,0,0,66,71,47,0,33,38,80,0,0,0,100,27,36,32,0,0,7,23,27,0,0,0,33,43,0,0,21,0,0,13,0,0,0,0
9/17/2017,0,46,0,30,34,34,2,42,0,36,0,0,0,0,16,0,7,24,68,34,7,26,44,0,35,12,0,29,44,5,36,20,13,11,22,23,24,23,24,32,0,13,0,11,0,17,22,0,23,2,65,0,45,55,29,0,19,0,4,0,3,0,62,22,19,23,14,66,0,32,0,31,0,0,0,13,0,0,0,78,13,28,47,22,44,17,0,0,30,0,39,65,0,27,68,28,0,40,44,64,0,0,0,0,27,35,19,0,0,6,46,26,0,0,0,33,0,37,0,0,0,0,26,0,66,0,0
9/24/2017,0,51,34,35,11,40,0,20,0,75,0,0,37,0,17,0,7,0,55,69,3,11,15,0,30,19,0,57,22,6,30,20,7,12,19,0,0,8,16,30,23,43,0,11,45,17,27,0,12,1,22,0,15,42,0,7,16,0,12,0,2,0,36,0,19,12,46,0,0,0,0,15,0,0,0,18,0,0,0,48,5,37,32,0,54,0,0,0,20,0,45,44,0,39,56,37,0,23,22,84,0,0,0,0,0,18,59,0,0,6,23,0,0,0,0,0,0,0,0,21,0,0,13,0,0,53,0
10/1/2017,0,57,0,24,11,37,2,27,0,0,0,0,18,19,15,0,7,0,59,0,10,5,14,28,45,25,20,0,0,5,42,16,10,14,25,0,24,19,31,29,0,24,32,22,22,0,20,34,29,2,44,0,31,53,14,21,16,0,27,0,1,0,51,0,19,40,18,67,66,0,0,0,0,24,0,3,0,51,0,12,34,24,5,21,36,0,86,0,30,0,6,97,0,17,57,29,0,23,21,58,42,7,0,0,27,0,26,0,0,13,37,28,0,0,0,0,0,0,0,22,0,0,14,0,0,0,0
10/8/2017,0,52,50,41,11,40,5,7,0,0,45,41,17,0,15,0,4,0,50,35,5,17,0,0,46,7,41,41,0,7,54,21,11,11,20,23,0,12,60,0,0,31,32,10,42,33,22,0,18,0,0,0,63,100,0,22,4,0,16,12,3,0,21,0,39,17,43,46,0,0,0,15,0,0,0,17,0,0,0,40,29,21,38,42,28,17,0,20,42,0,17,21,0,16,54,15,0,15,21,86,42,0,44,0,52,0,6,0,41,6,30,0,0,0,0,0,0,0,0,21,47,0,27,0,34,0,91
