Country,Confirmed cases (absolute),Cases in last 7 days,Confirmed deaths (absolute),Deaths in last 7 days,Daily increase (# deaths),Population (in millions),Deaths per million (total),Deaths per million (last 7 days),DeathsPop(%)
Peru,"3,549,511","2,815","212,396",189,24,32.51,"6,533.16",5.81,0.00653316
Bulgaria,"1,143,424","4,501","36,655",126,19,6.98,"5,254.62",18.06,0.00525462
Bosnia and Herzegovina,"375,948",508,"15,728",15,1,3.3,"4,764.62",4.54,0.00476462
Hungary,"1,863,039","11,168","45,647",177,36,9.77,"4,672.18",18.12,0.00467218
Georgia,"1,650,384","2,120","5,120",20,4,3.72,"4,506.26",5.38,0.00450626
North Macedonia,"307,142","1,163","9,234",13,3,2.08,"4,432.05",6.24,0.00443205
Moldova,"514,650","1,208","11,453",22,1,2.66,"4,309.47",8.28,0.00430947
Croatia,"1,105,315","6,139","15,646",83,12,4.07,"3,846.59",20.41,0.00384659
Czechia,"3,850,902","28,867","39,816",124,32,10.67,"3,731.69",11.62,0.00373169
Slovakia,"2,474,869","31,732","19,482",130,20,5.45,"3,572.01",23.84,0.00357201
Romania,"2,866,793","13,223","65,147",132,18,19.36,"3,365.63",6.82,0.00336563
Lithuania,"1,035,798","10,959","8,936",60,11,2.79,"3,206.49",21.53,0.00320649
Brazil,"30,069,094","117,424","660,980",958,194,211.05,"3,131.87",4.54,0.00313187
Slovenia,"980,451","12,342","6,517",30,5,2.09,"3,121.25",14.37,0.00312125
Poland,"5,973,557","10,626","115,472",299,77,37.97,"3,041.07",7.87,0.00304107
Chile,"3,495,889","24,953","56,822",242,13,18.95,"2,998.20",12.77,0.0029982
USA,"79,686,296","142,501","979,143","3,168","1,241",328.24,"2,983.01",9.65,0.00298301
Latvia,"805,353","6,458","5,667",51,10,1.91,"2,962.69",26.66,0.00296269
Armenia,"422,610",91,"8,619",6,0,2.96,"2,914.06",2.03,0.00291406
Argentina,"9,047,408","9,497","128,144",125,38,44.94,"2,851.53",2.78,0.00285153
